MessageNumber,Message,English,MessageID,CM_1,CM_2,CM_3,CM_4,CM_5,CM_6,AOPV_1,AOPV_2,AOPV_3,AOPV_4,AOPV_5,AOPV_6,CDACT_1,CDACT_2,CDACT_3,CDACT_4,CDACT_5,CDACT_6,TI_1,TI_2,TI_3,TI_4,TI_5,TI_6,TTBF_1,TTBF_2,TTBF_3,TTBF_4,TTBF_5,TTBF_6,MessageNumber2,Hate,Year,CM,AOPV,CDACT,TI,TTBF
256,My hello from Europe. o/ European nations forget who They are. Let invaders Come in to destroy all nationalities and traditions here.  People forget blood.  But there are Still few who want to keep it all alive.  IF White nation want to resist They must cooperate.,1,256,2,1,3,3,3,4,1,1,1,1,1,2,3,5,3,2,5,4,6,1,6,6,6,6,1,1,1,1,1,1,256,0.903,2020,2.666666667,1.166666667,3.666666667,5.166666667,1
257,My location and information was posted on a gay hookup site by a bunch of pissed off Italians. Now I get followed and harassed by faggots everywhere.,1,257,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,3,3,1,1,2,1,1,1,1,1,257,0.904,2020,1.166666667,1,3,1.666666667,1.166666667
258,"My stormfront name is garysmith 
I live in London,England 
I am a nazi-and a sadist 
I like to imagine that I am the re-incarnation of a guard at one of the  
early concentration camps.I spend my days hurling live jews and queers  
into trenches full of burning gas.They resist of course,so sometimes it  
takes several of us to get oneUntermensch into the flames.It's  
hot,thirsty work,so we wear shorts most of the time and drink a lot 
Nice work if you can get it! 
 
Over to you 
 
This is an e-mail I recieved from our friENDly neighborhood fag. I believe this speaks for its self. Apparently he though I was a guy??? Labrat",1,258,1,1,1,1,1,1,6,6,6,6,6,6,3,3,5,3,2,3,1,1,1,1,4,1,1,1,5,2,1,2,258,0.89,2001,1,6,3.166666667,1.5,2
259,"My youngest likes the country dances and rodeos.  My oldest does the country dances and belongs to a very large group that likes to buy a keg and build a bonfire.  My youngest and I participated in Schutzhund trials and dog shows for a while.  There are many things to do and one only needs to have an interest.  There is something wrong with young folks who can't enjoy a hog roast, country music, and a lot of beer.   
 
There is a motocross trial held near every year.  Some people fish, water ski, or sail.  The is also winter skiing, snow mobiling, etc.   
 
In very rural Iowa the highschool and church are the center of the community.  Understand why our education is still pretty good?  Our culture is centered on family. 
 
In short:  Iowa is boring if you want to enjoy it on your sofa.  Of course some fun can be had there to.   Anyway that what I remember. 
 
Iowa is not heaven, but it is still a good place to raise a family.  The rural communities are the best.  Avoid Des Moines, Waterloo, the Quad Cities, Sioux City, and Council Bluffs.  Iowa City has a higher proportion of queers than San Francisco, but even the schwarz wilder are relatively docile.   The schwarz wilder in Cedar Rapids are generally well controlled.   The Hole In The Sheet Gang, the ones with black hats and curls, are taking Postville over, having imported a bunch of violence prone, low IQ mestizos.  White folks are still growing safely in rural communities, commuting to mini Sodom and Gomorrahs for employment.",1,259,1,1,2,1,2,2,1,1,1,1,1,3,3,6,6,5,5,4,4,4,1,4,4,1,1,4,2,2,1, ,259,0.891,2001,1.5,1.333333333,4.833333333,3,2
260,"Nazis are decent whites who are against gays, interracial relationships, fag marriages, open borders, interest slavery, greedy cooperate Jews, degenerate pornography etc. I rather be a Nazi anyday than a liberal fag turd who want to make whites into third world brown turds by using diversity as a bioweapon.",1,260,2,1,2,1,2,2,1,6,1,1,1,3,3,5,6,4,5,5,1,6,3,6,4,2,2,1,1,2,1, ,260,0.907,2020,1.666666667,2.166666667,4.666666667,3.666666667,1.4
261,"Negros are smelly, subhuman apes and belong in Africa with the rest of the smelly apes.",1,261,1,1,2,3,2,1,1,1,1,1,1,1,3,3,3,3,3,3,4,1,4,4,1,4,4,5,4,2,1,2,261,0.905,2020,1.666666667,1,3,3,3
262,Nice enough to give some nig a reason to rape her? That's not how a real woman should act.White or not.,1,262,1,1,1,1,1,1,1,2,2,1,1,2,3,3,5,3,4,3,1,1,1,1,3,1,1,1,5,1,1,1,262,0.902,2001,1,1.5,3.5,1.333333333,1.666666667
263,"Nigs gonna nig, is amazing listening to all the dialogue playing aling with ""there needs to be discussion,"" let me see, 50 years of guving nigs everything  possible, about every city, state, ans government job is given to blacks, whitey folk pay  all these taxes and get nothing but slander. In the mean time, nigs ambush and routinely kill cops just for fun. Baltimore run by only nig officials and nig cops, but nothing changed, just nigs endlessly rampaging, because nigs will nig-nothing will change it. 
In time, only will get to the point actions like those taken President Bolsonaro will get it under control. Maybe employers will take notice of their practices of hiring nigs thinking they are doing a good thing-wrong.",1,263,2,3,3,2,3,2,1,2,2,1,1,2,6,5,6,5,6,5,5,5,5,5,2,5,2,1,1,2,1,1,263,0.909,2020,2.5,1.5,5.5,4.5,1.333333333
264,No good invaders looking for any excuse to riot and Rob. They are even looking to rename streets in an effort to undermine our history in Glasgow. You can take the animals out of the jungle but not the jungle out of the animal.,1,264,2,3,2,1,2,2,1,2,1,1,1,1,3,3,3,5,3,3,1,1,5,3,1,4,3,2,4,2,2,4,264,0.906,2020,2,1.166666667,3.333333333,2.5,2.833333333
265,"No matter where they are or how many  privileges they are given , the negroe will  always revert to their primitive animal like natural behaviour . 
 
There is no civilising blacks...ever, because you can take the negroe out of the jungle but you can't take the jungle out of negroes",1,265,1,1,2,2,1,2,1,1,1,1,1,1,3,3,5,5,3,3,1,2,1,1,1,1,3,4,4,2,2,4,265,0.905,2020,1.5,1,3.666666667,1.166666667,3.166666667
266,"No one is accusing men of being gay. Five men mentioned in the article are openly homosexual: 
 
Jack Donovan, James J. O’Meara, Greg Johnson, Millennial Woes, and Milo. 
 
How is point out the number of openly homosexual men, homosexual supporters and woman haters in the alt-right feminist or anti male?  
 
Just look at the flaming faggotry of Jack Donovan:  
 
 
 
 
 What a nasty filthy fag. And this is the disgusting fag that Jared Taylor gas no problem associating himself with.  
 
Why should blatant fags like this not be outed and removed from nationalism and the alt-right? 
 
If going against and criticising disgusting faggots like Jack donovan makes me a misandrist then I'll wear that lable with pride. 
 
And don't even get me started of James O'Meara. He's even worse. 
 
Richard Spencer isn't gay but that quote of his in the article makes it clear that he supports them. 
 
 
 No it isn't. I want nothing to do with lgbtq freaks of any sort.  
 
Gavin McInnes kissed a man and shoved a dildo up his bum live on his show, but apparently he's not gay because he has a native american wife and mixed children. Not only does he act like a disgusting fag he's also a race mixer.  
 
Andrew Anglin not gay but has a severe hatred of white females.  
 
 
 
 
 
 
 
 Sounds like angry incel and mgtow propaganda because that's just exactly what it is. Can you imagine if a female said the same of men. ""Men are evil demonic creatures from hell who get pleasure from destroying women"" That would never be accepted in nationalism or the alt-right. So why should anglins crap about women go unchallenged?  
 
 
Men like anglin seem to live in their own world deluded where men are always victims and women are always evil. Nevermind the fact that men are much more likely to be violent than women.  
 
I don't know if Nick Fuentes is gay or not, but what straight guy would hang out with a man that shoves black dildos in his mouth? 
 
It's obvious to anyone that the alt-right is filled to the brim with female hating fags and mgtow trash. I see no reason why they shouldn't be called out and shunned.",1,266,1,1,2,1,2,3,1,1,1,1,1,2,5,5,5,5,6,5,1,1,6,3,4,4,2,4,5,2,1,1,266,0.904,2020,1.666666667,1.166666667,5.166666667,3.166666667,2.5
267,"No, I don't, not at all.  I want the rags out of everywhere. 
 
In America, we have a different problem.  We made the huge mistake of bringing the nig nogs over and Mexico, besides being connected to America, did own the west coast and were their first.  Yeah, it's not our fault that they didn't know that they were sitting on a goldmine, sold it to use for a bargain.  Nor is it our fault that we irrigated it and made it into the heaven that they are destroying now. 
 
I am from Cali and at least the beaners are taking care of the nig nogs! 
 
The problem with Muslims is their ideology and then their race.  I just came back from Europe for the first time and it was raghead hell.",1,267,2,3,2,2,2,5,1,1,1,1,1,2,6,5,6,6,6,3,4,6,4,5,5,4,2,5,2,1,1,1,267,0.907,2020,2.666666667,1.166666667,5.333333333,4.666666667,2
268,"No, the invading subhuman Africans and muzzies are threatening Europe!",1,268,2,1,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,1,6,6,4,1,6,2,1,2,1,1,2,268,0.907,2020,1.833333333,1,3,4,1.5
269,No. There must be mass deportation. We do not wish to pay to execute and bury hundreds of thousands of invaders. They must pack up and go back.,1,269,4,3,5,4,4,5,2,1,2,2,1,2,3,3,3,3,1,3,1,4,4,5,1,4,1,1,2,1,1,1,269,0.908,2020,4.166666667,1.666666667,2.666666667,3.166666667,1.166666667
270,"No. They will treat any white person who doesn't believe in ""social justice"" and doesn't think they are ""racist"" as having a mental illness. 
 
Someone who believes homosexuality is evil? They must be mentally ill. Lock them up, to liberals, fags are normal and heterosexuals are the mentally ill. Violent blacks are normal but peaceful whites are mentally ill racists just for being white. 
 
Nothing good can come of this.",1,270,1,1,1,1,2,2,1,2,1,1,1,1,3,5,6,5,6,5,3,2,3,3,2,3,1,2,2,2,1,1,270,0.903,2020,1.333333333,1.166666667,5,2.666666667,1.5
271,"Non-Europeans don't belong in the White world.  
 
These mestizos want to invade, overwhelm, and crush our majority. Build a wall and end all non-White immigration NOW!",1,271,4,5,5,5,4,4,1,1,1,1,1,1,5,3,5,3,3,3,4,6,6,6,6,6,1,1,1,1,1,1,271,0.914,2020,4.5,1,3.666666667,5.666666667,1
272,"Not hardly, seizing a vessel or aircraft loaded with drugs is not ""piracy"" and neither is seizing vessels loaded with illicit contraband, oil.  
Just because some coward dems drop to their knees to be sodomized by rampaging commies and losers in this Nation, don't  make the mistake in thinking we are all faggot cowards.",1,272,1,1,2,1,3,2,1,2,1,1,1,1,3,3,5,4,4,4,1,2,1,3,3,3,2,1,2,2,1,2,272,0.903,2020,1.666666667,1.166666667,3.833333333,2.166666667,1.666666667
273,Not if we continue to allow the mud races to **** on it.,1,273,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,2,1,1,1,1,273,0.89,2001,1.166666667,1,3,1,1.333333333
274,Not only are they absolutely disgusting but these black faggots seem to be total attention whores.,1,274,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,3,3,1,1,1,1,1,1,2,1,4,1,2,1,274,0.912,2020,1,1,3.333333333,1,1.833333333
275,"Not our fault your armies fell to invasion because they were just primitive monkeys in huts. Iron law of nature. 
 
We are at least putting up a fight or trying to raise one. 
 
We mapped and named the entire planet because we used to own it. 
 
 
In 1600's there were just 60 million Africans and 400 million Europeans. 
 
You were a dying nothing of a people inhabiting the middle of the continent. N.Africa and the Egyptians were Caucasian Semites/arabid type. 
 
We actually saved you by bringing in the ARYAN MASTER RACE Red Cross, the landrover and basic Roman road, irrigation and mass farming technology. 
 
Of course because you are all insane and owned by the fake jew matrix you have never been taught any of this. 
 
There was nothing in S.Africa but bones, till the British and Dutch (Germans) built it and then you followed them back down from the jungles. 
 
In 1800 90 million Africans and 500 million Europeans. Height of the Empire. 
 
Try and imagine 90 million Negroes dispersed over that entire gigantic continent. 
 
There was nothing there. 
 
The gold, the platinum, the rubber, the riches were all created by whitey the devil and his industrial revolution from under your devolved monkey feet. 
 
Remember under a Babylonian Semite master race, the main people victimized by Babylon are third-world people.  
 
Under Aryan master race you would of been culled for your own good and then under the masters guide the continent would of been humanely managed and greatly improved for benefit of all the world. 
 
China owns you know. 
 
Your entire race is corrupt and incapable of self governance, self sustenance and advanced culture and civilization. 
 
Some even say you were genetically engineered by annunaki to be mining/labor slaves, with built in IQ limiter and lifespan reducing genetic alterations such as sickle cell. They introduced A.I.D.S (and gave it the textbook illuminati joke name) to fully cull you, but some dirty faggot air hostess from New York took it in the ass and brought it back to New York and from there it spread the whole world. 
 
 
 
Third world people remember where your coming from... 
 
 YouTube 
 
 
In a few hundred years the place will be desert anyway and you will be forced back into the jungle regions or to invade Europe by dingy and raft. By this time Europeans will all have toilet brush heads anyways, because of the biological urge Eve has to disobey Adam and breed the half man half apeling creatures from ancient mythology. 
 
 climate change in africa map at DuckDuckGo 
 
 
Your next therapy session will be on the 20th. 
 
Here are your meds, food stamps and weed. 
 
Contemplate this on the Tree of Woe...",1,275,1,3,1,1,2,2,1,2,1,1,1,2,6,6,6,6,6,6,5,4,6,1,6,6,2,1,4,4,3,2,275,0.902,2020,1.666666667,1.333333333,6,4.666666667,2.666666667
276,Not true.  Some of us men are very good at style and aesthetics.  Of course the homos come up with a lot on their own.  Weird.  Maybe the tuxedo was invented by a fag?,1,276,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,3,1,1,3,3,1,1,3,3,2,3,3,1,276,0.908,2020,1,1,3.166666667,1.666666667,2.5
277,"Nothing gets me more upset than the traitors on our White side. Especially the spoiled, soft, preachy ""love the world"" ""we're all part of one loving human race PC crap. church leaders. 
 
Much as we would all love to pummel these wretched , misguided X'tians into bloody pulp the way our Viking Pagan ancestors did, jail time isn't what we need to raise healthy White families. Still there are other violent alternatives that are perfectly legal. 
 
I suggest you get to know some of these misguided Church fools and simply drop them off/ leave them in very dangerous, drug trafficking, gang infested Third World ghetos. If you have alien immigration, you're sure to have gangs, drugs, hate whitey mobs.  
 
Perhaps pick a fight with the Muslim invaders and get the Muslims to think that these pathetic Anglicans are modern day Crusaders for Christiandom. 
 
We will all be rooting for the Muslims as they beat the living hell out of these traitorous queer loving love the Indonesians Muslim Church folks.",1,277,1,3,6,1,3,6,4,5,6,4,2,4,3,5,3,5,6,3,1,4,4,1,3,4,2,1,2,2,1,1,277,0.895,2001,3.333333333,4.166666667,4.166666667,2.833333333,1.5
278,Nugent lives about 29 miles up the road. He is a POS draft dodger during Vietnam. He trys to over compensate now and is a bigtime Patriotard after 911. Talk is cheap Ted.  I saw him in Wichita Falls at the beginning and he sucked so bad I left.   He dresses like a detroit faggot and all the folks around here hate his guts.,1,278,1,1,1,1,1,2,1,1,1,1,1,1,5,3,5,5,3,3,1,1,1,1,1,1,3,2,5,2,1,5,278,0.903,2020,1.166666667,1,4,1,3
279,"Of course non-whites are scum just look at any country where they are the majority - need I say more? Some non-whites may have tolerable characteristics but only in their own country, just remember this is not their country. They ruined their country so why have them here to destroy our own? It makes no sense to shift problem cultures onto our own when we know in the end all of their problems of course follow them and swamp our own culture. No matter how much the bleeding hearts suck up to them and give them preferencial treatment (while we are treated like second class citizens at best) they still act like they did when they were in the sewers from which they came. Basically all of this pandering to the UN and bleeding hearts by even allowing this filth here is destroying our culture and our way of life. It is disgusting to think that here in Australia we have no culture anymore because of this invasion and worse still the average 'Australian' is now a gook slut (source - Daily Telegraph Monday 18th June 2001).  For these reasons I don't call myself Australian anymore as it means nothing when a gook or towel head just off the boat can have more rights in the country in which my ancestors helped to build. No bugger it I am simply a White Nationalist wanting the filth out of this country.  
 
As for talking to a brick wall I am set in my ways and for a reason I know exactly what is going on here and why. You are young and not wise in the ways of the sick world in which we live so come back and debate the issue when you have a brain between your shoulders.",1,279,2,3,3,3,2,2,1,1,1,1,1,1,5,3,5,5,6,5,5,6,6,6,4,6,1,1,1,1,1,1,279,0.899,2001,2.5,1,4.833333333,5.5,1
280,"Of course the ******s are cheering the 'terrorist' act,  
'kill whitey' is their slogan and we, the white race world wide  
should know this, unite, and destroy our true enemies;  
the jews, the chabez-goi race traitors, and the mud faced  
invaders of our homeland, the USA.",1,280,1,6,6,3,2,2,1,6,6,2,6,6,3,3,5,5,3,3,4,4,6,5,5,6,1,1,1,1,1,1,280,0.893,2001,3.333333333,4.5,3.666666667,5,1
281,Of course they aren't. Over HALF of them are here illegally! We need to go back to the Eisenhower era mass deportation tactics. Start shipping them back.,1,281,4,3,4,5,4,5,1,1,1,1,1,1,5,3,5,5,3,3,4,1,4,4,1,4,1,1,1,1,1,1,281,0.903,2020,4.166666667,1,4,3,1
282,"Of course, negroes think every being in Africa is a negro. Hannibal and the Moors were from Carthage, which is modern day Tunisa. They are arabs, not negroes. Same as the negro claims, ""we wuz Gypshun"". No, the Egyptians weren't and are not negroes either. Negroes are negroes, they have no history, so they try and claim everyone else history.",1,282,1,1,1,1,2,2,1,1,1,1,1,1,5,5,5,5,5,3,1,1,1,1,1,1,1,5,2,2,1,2,282,0.903,2020,1.333333333,1,4.666666667,1,2.166666667
283,"Off course negroes attack other negroes when no White person is in sight. In Rwanda (about the size of Belgium) negroes killed 800,000 negroes in 1994. But the Belgians were to blame, don´t forget that. No negro can ever be blamed for anything.",1,283,1,1,1,1,2,2,1,2,2,1,2,2,5,5,5,5,3,3,3,1,3,2,2,2,1,1,4,1,1,1,283,0.895,2001,1.333333333,1.666666667,4.333333333,2.166666667,1.5
284,Oh my goodness! Really?! You poor thing! The muds and wiggers are just trying to take over and the muds are getting bolder and bolder with their coming on to white women.  I guess because of so many wigger girls these days.,1,284,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,6,1,6,5,1,6,2,2,2,1,2,2,284,0.89,2001,1.166666667,1,3,4.166666667,1.833333333
285,"Oh yeah, the queer propoganda here is pretty bad.  I went to high school in Miami Florida, (and we all know that next to San Francisco,) is one of the biggest fag havens in the world.  I'm soooo glad I don't live in Miami anymore.  To see fags and crossdresers march through the streets of Miami every year is a GD embarrassment.  Just be thankful you don't live there",1,285,1,1,2,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,4,4,1,4,1,2,6,2,1,1,285,0.905,2001,1.333333333,1,3,2.5,2.166666667
286,"Oh yes, I knew exactly what they were up to.  It was almost torture for me to sit through that whole meeting without me bursting out into laughter.  The funniest thing, I heard at that meeting was that all the queers were going to going to organize a car wash, so that they could earn money to go to Key West (another fag haven, as if Miami didn't have enough queers)  I swear, when I left that meeting, I practically turned red from laughing so hard.  I'm proud to say, I shut their plans down.  I feel so special LOL",1,286,1,1,2,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,5,6,6,5,5,6,286,0.893,2001,1.333333333,1,3,1,5.5
287,ok.  go a step further with it. they get that land and found a new nation... it goes to 3rd world garbage status within 50 years... You now have mexicans jumping the border to come to our great nation so that they can benefit from our free government handouts and send what money they make from picking cabbage back to aztlan. muds will always want to flock to our homes because our culture creates great nations.  It will never end until we make it end.,1,287,2,3,2,3,3,2,1,1,1,1,1,1,6,3,5,6,4,5,5,5,5,5,5,5,2,1,4,2,1,1,287,0.887,2001,2.5,1,4.833333333,5,1.833333333
288,Only Whites should be allowed to immigrate. End non-White immigration now!,1,288,4,3,4,3,3,4,1,1,1,1,1,1,4,2,2,1,4,4,1,1,4,1,4,4,1,1,1,1,1,1,288,0.903,2020,3.5,1,2.833333333,2.5,1
289,"OOOOOHHHHH I see jungle boy your not REALLY African American, you're just plain old African, aren't ya. African American is a term reserved for plantation-blacks and your not even that.   
 
You're the African that the blacks avoid, you're an embarressment to them, you remind them of what jungle bunnies they come from. The really primate type, that can't even ape white man's manners. You're blacker and stupider and uglier than a REAL African American.   
 
Poor jiggaboo, not even the African American likes you! 
 
Lisel",1,289,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,3,3,1,1,1,1,3,1,2,6,5,2,4,4,289,0.888,2001,1,1,4.5,1.333333333,3.833333333
290,"Our only hope was if Trump deported all the illegals and Muslims (and throw in Jews too) instead Trump cares about black employment, Indian tech workers, and other Boomer talking points. The boomers are riding high now but they'll soon die out and what will be left is millions of AOC clones who won't stop until America is a waste land like their home hellhole countries.",1,290,4,3,2,2,2,5,1,2,1,1,2,1,3,3,5,5,3,3,1,6,6,5,4,6,2,1,2,1,1,1,290,0.903,2020,3,1.333333333,3.666666667,4.666666667,1.333333333
291,"Pardon my language but **** the jews and **** the arabs.  They are both a thorn in the White race's side.  I don't care if they kill each other off.  Take care of our little terrorist and then stop all Israel aid.  Let them fight their religious war.  Let them both fight until the death, and I will read about it and love it.",1,291,1,3,4,3,2,1,6,6,6,6,2,6,5,3,3,3,3,4,5,4,1,3,4,4,2,2,4,1,1,1,291,0.89,2001,2.333333333,5.333333333,3.5,3.5,1.833333333
292,"Pathetic little faggot. 
 
No doubt, he gets little respect from his own race, and thinks he can get it from Congoids if he puts them on a pedestal. 
 
He and others like him are nothing but ballast.",1,292,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,3,3,3,1,1,1,1,1,1,3,5,1,2,1,2,292,0.909,2020,1,1,3.333333333,1,2.333333333
293,"PC police like me?!?!?!?!?!? Either you absolutely want to misunderstand, or my English is not perfect(I know it isn´t), or you come from the A*L. Do you think the mestizos invading USA invented the Roman Empire? Please don´t defame the word Latin - that´s all I´m asking.",1,293,2,1,2,1,2,2,1,1,1,1,1,1,3,3,3,3,5,3,1,3,1,3,3,1,1,1,2,2,1,1,293,0.891,2001,1.666666667,1,3.333333333,2,1.333333333
294,Perhaps all the foreign invaders will go back home... ,1,294,1,1,3,2,1,2,1,1,1,1,1,1,3,3,3,3,3,3,4,4,1,1,1,4,1,1,1,1,1,1,294,0.908,2020,1.666666667,1,3,2.5,1
295,"Personally I like reality shows like Survivor, Big Brother 2, The Mole, The Amazing Race, Boot Camp and Fear Factor. The games that are played out are more interesting than some phoney soap opera plot that has been played out over and over again on different shows.  
 
The Diversity on some of these shows irritates me. However the Blacks and faggots are there being themselves as opposed to a glorified image of them created by a hollywood jew. Many times the non-whites and gays don't come across in a positive way. On the other hand, heterosexual, non-race mixing White men and women have come across as smart, athletic and noble. The exact opposite of what jews potray in their movies.",1,295,1,1,1,1,1,2,1,1,1,1,1,1,5,3,6,6,3,4,1,4,1,1,4,3,1,2,1,1,1,1,295,0.893,2001,1.166666667,1,4.5,2.333333333,1.166666667
297,"Precisely. If there were not millions of Mexican and Asian invaders in our state, then there would be an abundance of water for everyone. Non-Whites are parasites and they drain us of all our resources besides water. Taxes, housing, food, open space, the list goes on.",1,297,2,3,2,2,2,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,297,0.909,2020,2.166666667,1,5,4.333333333,1
298,"RC, as you can see from the situations in Haiti and Jamaica, social degeneration occurs wherever negroes rule. Even St Thomas, a US territory, has the highest crime rate in the world. Outside of the tourist centers, a White is simply a victim waiting to happen. 
 
Except for their proximity to the White nation, East St. Louis and Washington DC would be like Haiti too. They are not far off the bottom even so. It doesn't matter if the negroes are in Africa or elsewhere. 
 
These are the observable facts. I wish it weren't so; I truly do. I don't find any satisfaction in human misery. But we cannot turn the negro into a lamp-blacked Aryan; nor should we try. It is pointless to keep beating our heads against the wall any more. The races must simply go their own ways. 
 
If you can point to one negro-ruled area you would rather live, or that has a demonstrably stable society comparable to the White-ruled West, I'd like to know where it is.",1,298,1,3,3,3,2,3,1,2,1,1,1,2,6,5,6,5,5,5,5,1,4,4,4,4,1,1,2,1,1,1,298,0.89,2001,2.5,1.333333333,5.333333333,3.666666667,1.166666667
299,"Realistically, you are not going to throw Jews out of America.  Can you limit immigration and sanctuary cities? Likely.  Can you regain power, sure, it could happen. Would I like to send the Blacks back to Africa and Mexicans back to Mexico? Yes, but if they are legally here, that won't happen. Can we fight to send back the illegals? Sure.",1,299,1,3,2,3,2,2,1,1,1,1,1,1,3,3,3,1,3,3,1,4,4,4,1,4,1,2,2,1,1,1,299,0.902,2020,2.166666667,1,2.666666667,3,1.333333333
300,"Recent results indicating the loss to farmers due to C-19, but no worries,  Americas urban nigs and their white halfs will solve the loss: 
 Analysis Projects $89 per Acre Losses for 2020 Corn Crop Due to COVID-19 - Southeast AgNET",1,300,2,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,5,1,1,1,1,1,2,2,2,2,1,1,300,0.904,2020,1.333333333,1,3,1.666666667,1.666666667
301,Reign of fag terror?,1,301,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,3,2,2,1,1,301,0.909,2020,1.166666667,1,3,1,1.833333333
302,"Republicans love immigrunts. H1b illegal. They hire them over Americans. Democrats too but the Republican, Chamber of commerce guys are the worst. They are selling our country out for a dime on the dollar. 
Manufacturing.construction.food processing...all filled by illegal aliens now.Im discouraged,but I will not quit.We will do what we must do.",1,302,2,6,3,3,3,2,1,1,1,1,1,1,5,3,5,5,3,5,5,4,5,5,1,5,1,1,1,1,1,1,302,0.904,2020,3.166666667,1,4.333333333,4.166666667,1
303,"Revolution is the only solution. Do you really think that we would be able to ship all of those nig nogs back to Africa? I think that we have to use the same tactics that the Jews are using in Palestine. I too would like to have a peacefull solution, but it wont happen... Load up on shotgun shells daddy!",1,303,4,1,1,5,2,2,6,6,6,6,6,6,3,3,5,3,3,3,4,4,4,4,1,4,4,1,2,1,1,1,303,0.895,2001,2.5,6,3.333333333,3.5,1.666666667
304,Rubbish. Cultural Marxism is not Soviet communism. In the former USSR they didn't allow half the crap we did here. They were having giant military parades while in the UK fags were parading in the streets in the 1980s trying to gain 'rights'.,1,304,1,3,2,1,2,2,1,1,1,1,1,1,5,3,5,4,5,4,1,2,1,1,3,2,2,1,2,2,1,1,304,0.907,2020,1.833333333,1,4.333333333,1.666666667,1.5
305,"Savages! Absolute animals, that have no place in human society. ALL negroes should be repatriated, back to Africa. Let them destroy each other over there.",1,305,4,1,5,3,4,3,2,6,1,2,5,2,3,3,3,3,3,3,4,4,4,4,1,4,1,1,1,1,1,2,305,0.911,2020,3.333333333,3,3,3.5,1.166666667
306,"Savages, absolute savages, no other reason to kill these animals.",1,306,1,1,1,1,1,1,5,6,6,2,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,1,1,1,306,0.902,2020,1,4.666666667,3,1,1.5
307,"Say what ya like about negroes, they aint fools with money.",1,307,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,2,4,2,1,1,1,307,0.888,2001,1,1,2.666666667,1,1.833333333
308,"Seal the borders permenantly---fine sift the aliens in our midst & 
send them back to where they belong...""Offer"" all blacks seeking 
reparations for slavery a one-way ticket to Somalia, and a perme- 
nant ban for reentering this country. 
                     --Wenn wir marschieren--",1,308,4,3,4,5,4,4,1,1,1,1,1,1,5,3,3,3,3,3,4,4,4,4,1,4,1,1,1,2,5,1,308,0.895,2001,4,1,3.333333333,3.5,1.833333333
309,"see, ******s use you to bring races together, its the jews tool to destroy all the races then 250 years from now it will be only one and its the jewish race.",1,309,1,1,1,2,2,2,1,1,1,1,1,1,5,5,5,5,3,3,6,6,6,6,6,6,1,1,1,1,1,1,309,0.888,2001,1.5,1,4.333333333,6,1
310,Send all the illegals back. They don't belong.,1,310,4,3,4,5,4,5,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,1,4,1,1,1,1,1,1,310,0.905,2020,4.166666667,1,3,3.5,1
311,"Seriously, the idea of have our country ruled by a faggot, is too humiliating to bear. Not my America.",1,311,2,1,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,1,1,2,1,1,2,1,1,311,0.904,2020,1.833333333,1,3,1.333333333,1.333333333
312,"Serves them right, if only we could get more of them to fight each other.  Hell they do it to us all the time.  they need to kill each other off.  Just think if we would leave the muslims alone they would kill the jews for us.  The eternal jew controlling and running the show yet again.",1,312,1,1,1,2,2,2,6,6,6,2,6,6,3,3,5,3,3,3,1,2,6,1,1,6,2,1,4,1,1,1,312,0.886,2001,1.5,5.333333333,3.333333333,2.833333333,1.666666667
313,She also made him destroy a wonderful collection of handguns and make them into a piece sculpture. What a wussie whipped faggot of a so called man.,1,313,1,1,2,1,1,2,1,1,1,1,1,1,3,3,5,3,3,3,1,1,1,1,1,1,2,6,5,5,1,2,313,0.903,2020,1.333333333,1,3.333333333,1,3.5
314,Ship the negro to the jungles of Africa they don't belong in Western Civilization,1,314,1,1,4,5,4,5,1,1,1,1,1,1,3,3,3,3,3,3,1,4,4,4,4,4,4,1,4,1,1,2,314,0.904,2020,3.333333333,1,3,3.5,2.166666667
